"There are no products matching the selection.","There are no products matching the selection."
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"New arrivals","New arrivals"
"New arrivals Config","New arrivals Config"
Enable,Enable
Title:,Title:
"Block Title","Block Title"
"Show Review Rating:","Show Review Rating:"
"Qty Of Products:","Qty Of Products:"
"Products per row:","Products per row:"
"Width Of Thumbnail:","Width Of Thumbnail:"
"Height Of Thumbnail:","Height Of Thumbnail:"
